2024-10-30 00:30:31,699 - start diff evolution, bounds: [(0.5, 3), (17, 30), (0.4, 1.5), (0.4, 1.5), (4.0, 7), (4.0, 10.0)], fixed_params: {'ifa_l': 23, 'ifa_h': 5.5, 'ifa_fp': 5, 'ifa_w1': 1, 'ifa_w2': 1.0, 'ifa_wf': 1}
2024-10-30 01:00:39,080 - total seconds: 297.24, ifa_l: 26.455, ifa_h: 6.576, ifa_fp: 5.185, ifa_w1: 2.944, ifa_w2: 0.640, ifa_wf: 0.741, S11 at cf: -2.3632, Imp: 16.0R 57.3z, Res f: 2.198 GHz, S11 at res: -8.407, BW1: 2.13 GHz, BW2: 2.28 GHz, BW = 148.0 MHz - id 1398bf99b331
2024-10-30 01:01:54,881 - total seconds: 162.98, ifa_l: 24.480, ifa_h: 4.409, ifa_fp: 6.515, ifa_w1: 0.693, ifa_w2: 1.445, ifa_wf: 0.532, S11 at cf: -3.4329, Imp: 9.8R 1.7z, Res f: 2.430 GHz, S11 at res: -3.445, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id 435b6b21d817
2024-10-30 01:02:20,056 - total seconds: 160.91, ifa_l: 21.080, ifa_h: 6.200, ifa_fp: 6.831, ifa_w1: 2.753, ifa_w2: 0.582, ifa_wf: 0.453, S11 at cf: -3.2591, Imp: 84.4R -118.0z, Res f: 2.774 GHz, S11 at res: -17.460, BW1: 2.56 GHz, BW2: 3.23 GHz, BW = 668.0 MHz - id 16c269b5675a
2024-10-30 01:03:42,784 - total seconds: 82.73, ifa_l: 18.159, ifa_h: 6.599, ifa_fp: 4.589, ifa_w1: 1.703, ifa_w2: 0.608, ifa_wf: 1.355, S11 at cf: -2.8755, Imp: 73.9R -123.2z, Res f: 2.890 GHz, S11 at res: -18.001, BW1: 2.61 GHz, BW2: -0.00 GHz, BW = -2606.0 MHz - id 31e9edb64665
2024-10-30 01:06:01,821 - total seconds: 139.04, ifa_l: 25.647, ifa_h: 8.635, ifa_fp: 5.988, ifa_w1: 2.767, ifa_w2: 0.489, ifa_wf: 1.266, S11 at cf: -7.3675, Imp: 38.8R 40.2z, Res f: 2.314 GHz, S11 at res: -16.031, BW1: 2.18 GHz, BW2: 2.49 GHz, BW = 312.0 MHz - id c51ff06e3732
2024-10-30 01:09:26,080 - total seconds: 204.26, ifa_l: 20.879, ifa_h: 5.819, ifa_fp: 5.313, ifa_w1: 2.592, ifa_w2: 0.557, ifa_wf: 0.579, S11 at cf: -5.4765, Imp: 75.8R -73.0z, Res f: 2.638 GHz, S11 at res: -41.539, BW1: 2.47 GHz, BW2: 2.92 GHz, BW = 452.0 MHz - id 5762797b8801
2024-10-30 01:09:35,872 - total seconds: 214.05, ifa_l: 23.277, ifa_h: 4.891, ifa_fp: 4.877, ifa_w1: 1.248, ifa_w2: 0.797, ifa_wf: 0.719, S11 at cf: -4.4241, Imp: 14.0R 17.1z, Res f: 2.338 GHz, S11 at res: -5.573, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id bbe78062b031
2024-10-30 01:09:46,915 - total seconds: 225.09, ifa_l: 29.544, ifa_h: 4.663, ifa_fp: 6.732, ifa_w1: 2.827, ifa_w2: 0.749, ifa_wf: 0.664, S11 at cf: -3.5648, Imp: 10.9R 13.8z, Res f: 2.346 GHz, S11 at res: -4.170, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id 5d7de17da3c3
2024-10-30 01:12:12,108 - total seconds: 145.19, ifa_l: 18.347, ifa_h: 5.236, ifa_fp: 4.993, ifa_w1: 0.742, ifa_w2: 1.265, ifa_wf: 0.534, S11 at cf: -3.3495, Imp: 56.2R -98.1z, Res f: 2.806 GHz, S11 at res: -18.836, BW1: 2.56 GHz, BW2: 3.31 GHz, BW = 752.0 MHz - id 8683a2fc243d
2024-10-30 01:12:58,691 - total seconds: 202.82, ifa_l: 18.916, ifa_h: 8.871, ifa_fp: 4.051, ifa_w1: 1.583, ifa_w2: 0.912, ifa_wf: 0.752, S11 at cf: -15.6558, Imp: 69.3R 3.9z, Res f: 2.446 GHz, S11 at res: -15.681, BW1: 2.29 GHz, BW2: 2.67 GHz, BW = 384.0 MHz - id 3e5d52fe6969
2024-10-30 01:13:15,863 - total seconds: 229.78, ifa_l: 29.075, ifa_h: 5.477, ifa_fp: 4.089, ifa_w1: 0.506, ifa_w2: 0.762, ifa_wf: 0.940, S11 at cf: -1.0301, Imp: 7.6R 62.3z, Res f: 2.066 GHz, S11 at res: -2.820, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id f40d08339ba0
2024-10-30 01:14:58,090 - total seconds: 165.98, ifa_l: 21.044, ifa_h: 4.749, ifa_fp: 5.374, ifa_w1: 1.960, ifa_w2: 0.721, ifa_wf: 0.586, S11 at cf: -4.4978, Imp: 51.9R -75.6z, Res f: 2.670 GHz, S11 at res: -14.078, BW1: 2.50 GHz, BW2: 2.95 GHz, BW = 448.0 MHz - id 2a648781961f
2024-10-30 01:16:05,873 - total seconds: 170.01, ifa_l: 21.783, ifa_h: 8.418, ifa_fp: 6.457, ifa_w1: 1.862, ifa_w2: 0.884, ifa_wf: 0.707, S11 at cf: -10.3191, Imp: 67.6R -32.8z, Res f: 2.554 GHz, S11 at res: -15.899, BW1: 2.37 GHz, BW2: 2.86 GHz, BW = 496.0 MHz - id 40bcc781dc3f
2024-10-30 01:17:10,294 - total seconds: 251.60, ifa_l: 27.420, ifa_h: 5.904, ifa_fp: 4.449, ifa_w1: 0.590, ifa_w2: 0.915, ifa_wf: 0.699, S11 at cf: -1.6670, Imp: 11.1R 57.0z, Res f: 2.134 GHz, S11 at res: -4.483, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id a89608bca3dd
2024-10-30 01:19:44,826 - total seconds: 218.95, ifa_l: 21.845, ifa_h: 5.064, ifa_fp: 4.942, ifa_w1: 1.813, ifa_w2: 0.507, ifa_wf: 0.626, S11 at cf: -8.0532, Imp: 34.0R -31.8z, Res f: 2.546 GHz, S11 at res: -11.713, BW1: 2.41 GHz, BW2: 2.74 GHz, BW = 336.0 MHz - id 21ea4140e9ed
2024-10-30 01:19:45,176 - total seconds: 287.08, ifa_l: 27.817, ifa_h: 9.193, ifa_fp: 4.582, ifa_w1: 1.207, ifa_w2: 0.813, ifa_wf: 1.152, S11 at cf: -0.6233, Imp: 17.2R 145.7z, Res f: 1.934 GHz, S11 at res: -5.535, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id 79872b462882
2024-10-30 01:19:52,537 - total seconds: 162.24, ifa_l: 20.929, ifa_h: 5.466, ifa_fp: 6.442, ifa_w1: 0.709, ifa_w2: 0.919, ifa_wf: 1.433, S11 at cf: -2.6296, Imp: 32.0R -85.9z, Res f: 3.034 GHz, S11 at res: -26.810, BW1: 2.65 GHz, BW2: -0.00 GHz, BW = -2650.0 MHz - id dbaf9c89f643
2024-10-30 01:22:20,440 - total seconds: 155.26, ifa_l: 18.231, ifa_h: 9.140, ifa_fp: 5.958, ifa_w1: 0.643, ifa_w2: 0.948, ifa_wf: 1.094, S11 at cf: -5.4101, Imp: 59.1R -68.5z, Res f: 2.718 GHz, S11 at res: -12.139, BW1: 2.47 GHz, BW2: -0.00 GHz, BW = -2474.0 MHz - id 0a768ab6d879
